favorite_count,retweet_count,tweet_id
12148,3201,820690176645140481
0,560,820494788566847489
0,2547,820446719150292993
3325,560,820314633777061888
19692,6224,820078625395449857
0,1165,820013781606658049
5294,1165,819952236453363712
12840,4842,819924195358416896
13291,3079,819711362133872643
9593,1975,819588359383371776
7178,1193,819347104292290561
2248,404,819238181065359361
22944,6653,819227688460238848
0,36596,819015337530290176
0,18846,819015331746349057
45097,18846,819006400881917954
86550,36596,819004803107983360
0,20806,818646164899774465
22297,7486,818627210458333184
9785,2529,818614493328580609
0,6076,818588835076603904
10821,2431,818536468981415936
0,8001,818307523543449600
10955,2240,818259473185828864
12199,2549,818145370475810820
4824,796,817908911860748288
51371,26873,817827839487737858
10704,2666,817777686764523521
11720,2936,817536400337801217
0,3359,817502432452313088
33632,14575,817423860136083457
5566,939,817415592588222464
0,8410,817181837579653120
8721,2010,817171292965273600
12171,2580,817120970343411712
8551,1634,817056546584727552
0,4693,816829038950027264
9960,2029,816816676327063552
9728,2166,816697700272001025
30302,8001,816450570814898180
8570,1933,816336735214911488
8897,2122,816091915477250048
0,1012,816062466425819140
0,5230,816014286006976512
4926,1012,815990720817401858
22308,8410,815966073409433600
0,4105,815745968457060357
9814,2244,815736392542261248
8203,1642,815639385530101762
10330,3792,815390420867969024
7630,1272,814986499976527872
11216,2686,814638523311648768
0,5808,814578408554463233
8609,1850,814530161257443328
28674,8630,814153002265309185
0,3176,813944609378369540
9279,1856,813910438903693312
36349,13909,813812741911748608
8296,1749,813800681631023104
18615,7265,813217897535406080
9218,1812,813202720496779264
19811,4334,813187593374461952
9250,1914,813172488309972993
7761,2199,813157409116065792
8466,2375,813142292504645637
4473,446,813130366689148928
11800,3119,813127251579564032
10283,2727,813112105746448384
10564,3621,813096984823349248
9876,2774,813081950185472002
7933,1951,813066809284972545
20955,7338,813051746834595840
7556,1899,812781120811126785
6605,1436,812709060537683968
6050,1213,812503143955202048
7957,1930,812466873996607488
13643,3649,812372279581671427
7255,1397,811985624773361665
7527,1587,811744202451197953
5601,740,811647686436880384
12752,3072,811627233043480576
20886,6374,811386762094317568
5318,1436,810984652412424192
8986,1760,810896069567610880
10952,2636,810657578271330305
35160,11208,810284430598270976
14667,3371,810254108431155201
15545,3935,809920764300447744
0,4881,809808892968534016
6929,1466,809448704142938112
19906,5591,809220051211603969
13214,3524,809084759137812480
10119,3031,808838249661788160
7885,2158,808733504066486276
11306,2596,808501579447930884
42528,20806,808344865868283904
0,5901,808134635716833280
8800,2212,808106460588765185
12521,3535,808001312164028416
14582,3609,807621403335917568
118131,55221,807106840509214720
0,7330,807059379405148160
13084,3863,807010152071229440
74584,34565,806629075125202948
0,5528,806620845233815552
4890,1956,806576416489959424
10217,2355,806542213899489280
0,11599,806242860592926720
6440,1194,806219024703037440
0,5364,805958939288408065
8280,1923,805932879469572096
6551,1818,805826884734976000
0,8000,805823200554876929
5753,1657,805520635690676224
8800,2532,805487436403003392
7832,1715,805207613751304193
13708,3818,804738756058218496
6131,2010,804475857670639616
0,3236,804413760345620481
44419,16091,804026241225523202
10067,2745,803773340896923648
0,7431,803692223237865472
10957,4148,803638050916102144
7758,1875,803380650405482500
0,5322,803321560782307329
10023,2453,803276597545603072
9017,1996,802952499103731712
0,2918,802624713319034886
7100,1467,802600418706604034
8945,2502,802572683846291456
16187,5818,802323869084381190
6756,1376,802265048156610565
9076,2626,802239329049477120
0,273,802185808107208704
7754,1721,801958328846974976
1791,236,801854953262350336
8231,2067,801538201127157760
6058,817,801285448605831168
24475,5901,801167903437357056
0,3955,801127390143516673
8073,2105,801115127852503040
688,98,800859414831898624
0,1613,800855607700029440
10574,2798,800751577355128832
13137,2985,800513324630806528
9507,2175,800459316964663297
0,4321,800443802682937345
11155,2807,800388270626521089
0,3942,800188575492947969
15283,2547,800141422401830912
28374,13146,800018252395122689
0,4680,799774291445383169
8394,2170,799757965289017345
8076,1928,799422933579902976
0,5457,799308762079035393
9878,2754,799297110730567681
8078,2478,799063482566066176
13081,4451,798933969379225600
7515,1440,798925684722855936
0,6640,798705661114773508
0,7771,798701998996647937
0,6518,798697898615730177
0,4946,798694562394996736
0,2335,798686750113755136
0,4742,798682547630837760
0,5551,798673117451325440
0,3902,798665375516884993
0,1854,798644042770751489
0,1977,798628517273620480
0,5681,798585098161549313
0,5835,798576900688019456
0,3332,798340744599797760
10430,2564,798209839306514432
11585,3107,797971864723324932
14554,4872,797545162159308800
19968,6565,797236660651966464
225,26,797165961484890113
0,8914,796904159865868288
7678,1925,796865951799083009
11825,3026,796759840936919040
0,7249,796563435802726400
7577,1759,796484825502875648
10998,4130,796387464403357696
0,14264,796177847564038144
32244,14264,796149749086875649
4976,1806,796125600683540480
9096,2411,796116448414461957
8461,2304,796080075804475393
10800,3719,796031486298386433
49573,23530,795464331001561088
10045,2864,795400264262053889
16208,5434,795076730285391872
0,3368,794983741416415232
10244,2306,794926597468000259
0,10258,794355576146903043
9602,2682,794332329137291264
9233,3316,794205286408003585
16827,4881,793962221541933056
9211,1859,793845145112371200
0,3125,793614319594401792
7980,1615,793601777308463104
10679,2368,793500921481273345
24594,9154,793286476301799424
8704,2390,793271401113350145
19981,8327,793256262322548741
10514,3293,793241302385262592
9822,2884,793226087023144960
8922,2792,793210959003287553
15257,5620,793195938047070209
6931,1997,793180763617361921
9380,2782,793165685325201412
6178,1704,793150605191548928
6406,2495,793135492858580992
12649,3922,793120401413079041
14330,3974,792913359805018113
11304,4265,792883833364439040
7354,1678,792773781206999040
13422,4292,792394556390137856
7145,1790,792050063153438720
0,21069,791821351946420224
0,9548,791784077045166082
0,3814,791780927877898241
45101,22141,791774931465953280
11740,3125,791672322847637504
13149,4105,791406955684368384
8765,2531,791312159183634433
0,4089,791026214425268224
9816,2132,790987426131050500
16659,4693,790946055508652032
0,2304,790723298204217344
8207,1923,790698755171364864
20656,7122,790581949425475584
7812,1879,790337589677002753
12556,3176,790277117346975746
0,3559,790227638568808452
9240,2304,789986466051088384
0,4113,789960241177853952
10336,4128,789903600034189313
7485,1765,789628658055020548
6745,1923,789599242079838210
11718,3368,789530877013393408
8650,2295,789314372632018944
0,4913,789280767834746880
9120,2604,789268448748703744
